date,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
2/29/2020,1,1,0,37790,20690,58480,12535,4660,17195,11519,15448,20690,36138,2441,5147
3/1/2020,0,1,0,37799,20652,58451,12552,4683,17235,11498,15425,20652,36077,2436,5139
3/2/2020,0,2,0,37786,20631,58417,12530,4675,17205,11488,15415,20631,36046,2448,5166
3/3/2020,1,7,0,37804,20638,58442,12539,4683,17222,11472,15405,20638,36043,2455,5177
3/4/2020,5,2,0,37744,20597,58341,12524,4679,17203,11441,15354,20597,35951,2460,5187
3/5/2020,3,14,0,37681,20542,58223,12529,4662,17191,11428,15323,20542,35865,2451,5167
3/6/2020,8,8,0,37606,20480,58086,12496,4658,17154,11409,15280,20480,35760,2452,5172
3/7/2020,7,8,0,37606,20499,58105,12453,4661,17114,11426,15309,20499,35808,2457,5183
3/8/2020,21,18,0,37680,20478,58158,12522,4660,17182,11418,15305,20478,35783,2462,5193
3/9/2020,57,37,0,37688,20453,58141,12527,4660,17187,11410,15280,20453,35733,2476,5221
3/10/2020,69,58,0,37667,20453,58120,12527,4664,17191,11414,15286,20453,35739,2461,5190
3/11/2020,155,80,1,37653,20465,58118,12519,4663,17182,11416,15276,20465,35741,2463,5195
3/12/2020,355,108,0,37684,20488,58172,12561,4656,17217,11423,15291,20488,35779,2457,5176
3/13/2020,619,151,0,37532,20458,57990,12493,4627,17120,11408,15277,20458,35735,2437,5135
3/14/2020,642,176,2,37452,20467,57919,12436,4600,17036,11406,15281,20467,35748,2438,5135
3/15/2020,1035,210,4,37529,20492,58021,12488,4637,17125,11408,15278,20492,35770,2433,5126
3/16/2020,2121,341,8,37480,20401,57881,12506,4628,17134,11357,15210,20401,35611,2437,5136
3/17/2020,2452,385,8,37503,20421,57924,12511,4626,17137,11373,15228,20421,35649,2438,5138
3/18/2020,2971,494,20,37492,20372,57864,12537,4619,17156,11344,15189,20372,35561,2442,5147
3/19/2020,3706,628,24,37455,20358,57813,12528,4618,17146,11317,15158,20358,35516,2444,5151
3/20/2020,4006,745,47,37303,20352,57655,12413,4610,17023,11310,15148,20352,35500,2433,5132
3/21/2020,2638,741,44,37353,20351,57704,12462,4598,17060,11319,15163,20351,35514,2432,5130
3/22/2020,2580,768,49,37478,20358,57836,12539,4616,17155,11332,15175,20358,35533,2441,5148
3/23/2020,3570,1142,82,37520,20383,57903,12579,4608,17187,11355,15199,20383,35582,2435,5134
3/24/2020,4498,1308,95,37567,20406,57973,12565,4603,17168,11387,15242,20406,35648,2446,5157
3/25/2020,4874,1415,124,37603,20372,57975,12573,4619,17192,11400,15260,20372,35632,2444,5151
3/26/2020,5044,1540,186,37604,20371,57975,12574,4612,17186,11412,15267,20371,35638,2445,5151
3/27/2020,5118,1565,218,37562,20357,57919,12562,4578,17140,11430,15285,20357,35642,2439,5137
3/28/2020,3479,1391,273,37667,20347,58014,12622,4614,17236,11437,15301,20347,35648,2436,5130
3/29/2020,3560,1493,290,37680,20362,58042,12618,4621,17239,11441,15303,20362,35665,2440,5138
3/30/2020,6130,1849,325,37708,20347,58055,12635,4635,17270,11437,15299,20347,35646,2441,5139
3/31/2020,5458,1791,385,37757,20341,58098,12677,4629,17306,11433,15298,20341,35639,2448,5153
4/1/2020,5448,1738,447,37728,20330,58058,12659,4617,17276,11436,15301,20330,35631,2446,5151
4/2/2020,5747,1664,497,37674,20265,57939,12673,4618,17291,11398,15254,20265,35519,2435,5129
4/3/2020,5669,1708,498,37709,20273,57982,12680,4617,17297,11414,15266,20273,35539,2444,5146
4/4/2020,3864,1450,510,37698,20280,57978,12681,4618,17299,11409,15262,20280,35542,2440,5137
4/5/2020,3781,1396,578,37747,20274,58021,12695,4631,17326,11406,15262,20274,35536,2450,5159
